epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,27072.6,0.5232,0.329,0.87614,0.8987,0.71818,0.81836,0.61043,0.85231,0.57457,0.99767,0.0011882,0.0011882,0.0011882
43,27792,0.52172,0.32494,0.87508,0.90588,0.74251,0.82657,0.62602,0.8217,0.54452,0.97334,0.0011684,0.0011684,0.0011684
44,28523.5,0.50988,0.3192,0.8748,0.90561,0.70356,0.80241,0.61135,0.80841,0.53897,0.98654,0.0011486,0.0011486,0.0011486
45,29151.5,0.49935,0.31423,0.86656,0.90844,0.66857,0.76638,0.58883,0.83456,0.62593,1.00782,0.0011288,0.0011288,0.0011288
46,29947.5,0.50506,0.31333,0.86929,0.87436,0.70952,0.8144,0.61026,0.85369,0.59396,0.99737,0.001109,0.001109,0.001109
47,30686.1,0.49598,0.31048,0.86869,0.90784,0.70366,0.80784,0.60171,0.85152,0.56943,1.02528,0.0010892,0.0010892,0.0010892
48,31414.1,0.50023,0.31295,0.86808,0.91379,0.70857,0.82011,0.61926,0.86112,0.55656,1.02707,0.0010694,0.0010694,0.0010694
49,32205.5,0.48331,0.30311,0.86714,0.89222,0.70167,0.81667,0.62058,0.81735,0.57233,1.01359,0.0010496,0.0010496,0.0010496
50,32929.5,0.49123,0.30271,0.86878,0.8746,0.72381,0.82249,0.62876,0.8284,0.54273,1.02337,0.0010298,0.0010298,0.0010298
51,33694.4,0.48131,0.29962,0.8622,0.89704,0.69238,0.78398,0.59525,0.83725,0.61634,1.02511,0.00101,0.00101,0.00101
52,34453.1,0.4858,0.3015,0.8612,0.87074,0.73138,0.82152,0.61674,0.87614,0.58982,1.01224,0.0009902,0.0009902,0.0009902
53,35199.3,0.47864,0.29638,0.86083,0.91334,0.72476,0.83445,0.63119,0.82561,0.535,1.00325,0.0009704,0.0009704,0.0009704
54,35894.3,0.48126,0.29479,0.85873,0.8811,0.7019,0.80242,0.60365,0.88022,0.59674,1.04818,0.0009506,0.0009506,0.0009506
55,36730.8,0.46732,0.28811,0.85811,0.88928,0.69714,0.79456,0.60289,0.84397,0.56351,1.01321,0.0009308,0.0009308,0.0009308
56,37413.4,0.47286,0.29108,0.85995,0.90381,0.74273,0.83371,0.63586,0.82037,0.54599,0.99478,0.000911,0.000911,0.000911
57,38212.9,0.45719,0.2846,0.85411,0.89887,0.72762,0.84307,0.64731,0.81362,0.52801,0.99337,0.0008912,0.0008912,0.0008912
58,39015.3,0.45835,0.2833,0.85709,0.90574,0.7138,0.83009,0.62975,0.82259,0.52113,0.99961,0.0008714,0.0008714,0.0008714
59,39734.7,0.45302,0.27749,0.85409,0.89096,0.70812,0.82235,0.62227,0.83619,0.58091,1.01802,0.0008516,0.0008516,0.0008516
60,40508.5,0.45768,0.28133,0.85419,0.88977,0.71524,0.82209,0.63617,0.79973,0.56417,0.99942,0.0008318,0.0008318,0.0008318
61,41167.8,0.44717,0.27257,0.8526,0.88146,0.71905,0.79074,0.59834,0.8411,0.58858,1.02241,0.000812,0.000812,0.000812
62,41785,0.44659,0.2754,0.85154,0.90031,0.72571,0.81667,0.61441,0.82837,0.54682,1.01486,0.0007922,0.0007922,0.0007922
63,42554.5,0.44912,0.27699,0.85239,0.90224,0.74476,0.84334,0.6461,0.80403,0.52552,1.0036,0.0007724,0.0007724,0.0007724
64,43304.6,0.43901,0.27323,0.85173,0.90386,0.7381,0.84248,0.63707,0.81906,0.51433,1.01649,0.0007526,0.0007526,0.0007526
